DrawingNumber,Style,"Frame Type","Frame Material","Glass Thickness",NoOfPanes,"Platform Thickness",Download
DH102_RA1,Double Hung,APL Metro awning frame,Aluminium,5mm,2,42mm,DH102_RA1.pdf
DH102_RA2,Double Hung,APL Metro awning frame,Aluminium,6mm,2,42mm,DH102_RA2.pdf
DH102_RA3,Double Hung,APL Metro awning frame,Aluminium,8mm,2,50mm,DH102_RA3.pdf
DH102_RA4,Double Hung,APL Hinged door,Aluminium,5mm,2,42mm,DH102_RA4.pdf
DH102_RA5,Double Hung,APL 80mm Shop front,Aluminium,6mm,2,42mm,DH102_RA5.pdf
DH102_RA6,Double Hung,APL 100mm Shop front,Aluminium,6mm,2,42mm,DH102_RA6.pdf
DH102_RA7,Double Hung,APL 106 Architectural Casement,Aluminium,6mm,2,42mm,DH102_RA7.pdf
DH102_RA8,Double Hung,APL 106 Architectural Casement,Aluminium,6mm,2,50mm,DH102_RA8.pdf
DH102_RA9,Double Hung,APL 80mm Shop front,Aluminium,8mm,2,50mm,DH102_RA9.pdf
DH102_RA10,Double Hung,APL 100mm Shop front,Aluminium,8mm,2,50mm,DH102_RA10.pdf
DH102_RA11,Double Hung,APL 106 Architectural Casement,Aluminium,8mm,2,50mm,DH102_RA11.pdf
DH102_RA12,Double Hung,APL 80mm Shop front,Aluminium,6mm,2,45mm,DH102_RA12.pdf
DH102_RA13,Double Hung,APL 100mm Shop front,Aluminium,6mm,2,45mm,DH102_RA13.pdf
DH102_RA14,Double Hung,APL 80mm Shop front,Aluminium,8mm,2,53mm,DH102_RA14.pdf
DH102_RA15,Double Hung,APL 100mm Shop front,Aluminium,8mm,2,53mm,DH102_RA15.pdf
DH102_RA16,Double Hung,APL 106 Architectural Casement,Aluminium,6mm,2,45mm,DH102_RA16.pdf
DH102_RT1,Double Hung,Hinged door/sidelight,Timber,5mm,2,42mm,DH102_RT1.pdf
DH102_RT2,Double Hung,Hinged door/sidelight,Timber,5mm,2,44mm,DH102_RT2.pdf
DH102_RT3,Double Hung,Hinged door/sidelight,Timber,6mm,2,44mm,DH102_RT3.pdf
DH102_RT4,Double Hung,Hinged door/sidelight,Timber,8mm,2,49mm,DH102_RT4.pdf
DH102_RT5,Double Hung,Hinged door/sidelight,Timber,6mm,2,52mm,DH102_RT5.pdf
DH102_RT6,Double Hung,Hinged door/sidelight,Timber,8mm,2,52mm,DH102_RT6.pdf
DH102_RT7,Double Hung,Hinged door/sidelight,Timber,6mm,2,44mm,DH102_RT7.pdf
DH102_RT8,Double Hung,Hinged door/sidelight,Timber,5mm,2,42mm,DH102_RT8.pdf
DH102_RT9,Double Hung,Hinged door/sidelight,Timber,5mm,2,44mm,DH102_RT9.pdf
DH102_RT10,Double Hung,Hinged door/sidelight,Timber,6mm,2,42mm,DH102_RT10.pdf
DH102_RT11,Double Hung,Hinged door/sidelight,Timber,6mm,2,44mm,DH102_RT11.pdf
DH102_RT12,Double Hung,Hinged door/sidelight,Timber,8mm,2,49mm,DH102_RT12.pdf
DH102_TF1,Double Hung,Flat Jamb Timber,Timber,5mm,2,42mm,DH102_TF1.pdf
DH102_TF2,Double Hung,Flat Jamb Timber,Timber,5mm,2,44mm,DH102_TF2.pdf
DH102_TF3,Double Hung,Flat Jamb Timber,Timber,6mm,2,44mm,DH102_TF3.pdf
